site_id,rch_id,stream,samp_date,yr,project,type,panel_yr,huc6,site_name,group,order,region,forest,district,state,lat,long,mgmt,strm_flow,total_index,index_suspect,tds,bf,rch_len,grad,sin,pool_dp,pool_frq,pool_pct,wd_trans,wd_wet_trans,d50,pt_fines2,pt_fines6,stab,veg_stab,bank_angle,un_cut_pct,lw_frq,lw_vol,rich,cling,long_lvd,ct_qd,ephet,plect,trict,intol,rivpacs,temp_days,wmt_days,start_date,end_date,avg_temp,mdmt,mwmt,wmt9,wmt12,wmt15,wmt18,wmt22,aug_et_2000_2015_cpg_all,awc_int_100_cpg_all,baseflow_index_cpg_all,clay_100_cpg_all,dwta_cpg_all,fac_taudem_17all_int,impermeable_100_cpg_all,jul_et_2000_2015_cpg_all,nlcd_2011_forest_100_cpg_all,nlcd_2011_wetlands_100_cpg_all,permeable_100_cpg_all,sand_100_cpg_all,sep_et_2000_2015_cpg_all,silt_100_cpg_all,slope_percent_int_cpg_all,streamslope_percent_int_cpg_all,swe_avg_0301_cpg_all,swe_avg_0401_cpg_all,swe_avg_0501_cpg_all,swe_avg_0601_cpg_all,swe_avg_0701_cpg_all,swe_avg_0801_cpg_all,twi_100_int_cpg_all,us_precip_1981_2010_cpg_all,us_tmax_1981_2010_int_cpg_all,spatial_cluster,utm1,utm2,drain_density,ave_ann_cwd,ave_annual_precip,ave_basin_elev,MAP_UNIT_N
238,300,Tin Cup Joe,2003-07-19T00:00:00Z,2003,CRB,I,3,170102010705,053-05-I,053,05,R1,Beaverhead-Deerlodge,Pintler,MT,46.38579,-112.895626,Managed,NA,60.578152773607,NA,30,4.3,174.6,2.6,1.176,0.2875000089406967,45.81901489117984,26.34593383553102,23.66,36.32,0.049,5.5,13.33,90.48,83.33,86,60.98,229.1,17.128,26,22,4,45,11,8,9,16,1.137,48,42,2003-07-15T00:00:00Z,2003-08-31T00:00:00Z,10.510590266436338,14.399999618530273,13.785714285714286,42,37,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,4147,Tin Cup Joe,2008-07-14T00:00:00Z,2008,CRB,I,3,170102010705,053-05-I,053,05,R1,Beaverhead-Deerlodge,Pintler,MT,46.38579,-112.895626,Managed,Flow (whole reach),58.37562,NA,20,5.99,163,2.81,1.173,0.39428572569574627,42.944785276073624,32.638036692800696,15.7,30.67,0.0535,4.19,17.43,97.5,70,104,30,171.78,28.633,25,18,3,42,11,7,8,17,0.749,48,42,2008-07-15T00:00:00Z,2008-08-31T00:00:00Z,8.522743060770962,12.199999809265137,11.014285632542201,42,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,7338,Tin Cup Joe,2013-07-17T00:00:00Z,2013,CRB,I,3,170102010705,053-05-I,053,05,R1,Beaverhead-Deerlodge,Pintler,MT,46.38579,-112.895626,Managed,Flow (whole reach),69.99308,NA,50,5.05,174.2,2.555,1.189,0.2977777769168218,51.66475315729047,28.473019942076693,10.68,23.35,0.052,0.5,3.75,100,97.62,86,57.14,252.58,35.614,29,16,2,37,8,7,8,15,1.218329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,10047,Tin Cup Joe,2018-07-10T00:00:00Z,2018,CRB,I,3,170102010705,053-05-I,053,05,R1,Beaverhead-Deerlodge,Pintler,MT,46.38579,-112.895626,Managed,Flow (whole reach),60.5416729760333,NA,30,5.74,168.5,2.807,1.215,0.3819999933242798,29.673590504451038,22.908011529848906,10.94,15.09,0.055,13.73,25.61,100,52.38,85,66.67,201.78,80.609,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,42,2018-07-15T00:00:00Z,2018-08-31T00:00:00Z,8.285416680491632,11.600000381469727,11.157142775399345,36,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,301,Norton,2003-07-15T00:00:00Z,2003,CRB,I,3,170102010206,053-07-I,053,07,R1,Beaverhead-Deerlodge,Butte,MT,45.981085,-112.804045,Managed,NA,0,Yes,70,1.75,164.7,1.263,1.228,0.1869230791926384,78.93139040680025,22.222222381457463,11.93,39.94,0.004,65.83,85.67,97.62,90.48,113,30.95,85,3.781,21,20,11,69,8,4,6,13,0.807,48,42,2003-07-15T00:00:00Z,2003-08-31T00:00:00Z,11.824305564579037,18.5,17.928571701049805,42,42,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,4148,Norton,2008-07-10T00:00:00Z,2008,CRB,I,3,170102010206,053-07-I,053,07,R1,Beaverhead-Deerlodge,Butte,MT,45.981085,-112.804045,Managed,Flow (whole reach),0,Yes,80,2.25,160,1.294,1.305,0.22590908882292834,137.5,52.99999982118606,7.56,9.29,0.002,47.79,86.78,100,87.18,101,20.51,93.75,4.926,24,20,9,68,9,4,5,13,0.79,48,42,2008-07-15T00:00:00Z,2008-08-31T00:00:00Z,9.661024346533749,12,11.628571374075753,42,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,7339,Norton,2013-07-20T00:00:00Z,2013,CRB,I,3,170102010206,053-07-I,053,07,R1,Beaverhead-Deerlodge,Butte,MT,45.981085,-112.804045,Managed,Flow (whole reach),0,Yes,130,10.1,166.4,1.394,1.278,0.24083333214124045,72.11538461538461,44.17067386496525,29.77,17.08,0.002,89.87,97.02,95,85,137,10.26,72.12,9.761,24,14,7,62,8,2,3,10,0.880339,48,42,2013-07-15T00:00:00Z,2013-08-31T00:00:00Z,9.62031250488427,15.899999618530273,14.98571423121861,42,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,10048,Norton,2018-07-11T00:00:00Z,2018,CRB,I,3,170102010206,053-07-I,053,07,R1,Beaverhead-Deerlodge,Butte,MT,45.981085,-112.804045,Managed,Flow (whole reach),20.1338526190412,Yes,100,2.74,174.6,1.266,1.306,0.41461538580747753,74.45589919816724,70.38946140809294,6.84,6.67,0.003,33.3,59.52,97.62,90.48,105,23.81,74.46,33.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,42,2018-07-15T00:00:00Z,2018-08-31T00:00:00Z,11.279227427310413,16.030000686645508,15.385714394705635,42,36,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,302,Lost,2003-07-17T00:00:00Z,2003,CRB,I,3,170102010402,053-08-I,053,08,R1,Beaverhead-Deerlodge,Pintler,MT,46.220907,-113.029473,Reference,NA,61.338746711284,NA,70,4.27,180.6,2.796,1.067,0.26714285143784117,38.75968992248062,20.98560333251953,20.95,37.69,0.04,12.5,20.5,100,95.24,91,51.22,514.95,80.39,24,20,7,54,8,11,10,11,1.049,48,42,2003-07-15T00:00:00Z,2003-08-31T00:00:00Z,8.124826391537985,11.399999618530273,11.000000136239189,41,0,0,0,0,71,7,78,986,92,22676,72,99,86,0,28,6202,21,2760,35,20,311,386,451,304,58,0,691,85529,715,12,-1309614.0762007,2699014.6602809713,0.95,315.38,860.83,2398.49,Northern Rockies and Bitterroot Valley
240,4149,Lost,2008-07-11T00:00:00Z,2008,CRB,I,3,170102010402,053-08-I,053,08,R1,Beaverhead-Deerlodge,Pintler,MT,46.220907,-113.029473,Reference,Flow (whole reach),76.56685,NA,80,4.34,174.8,2.889,1.197,0.34285713945116314,40.045766590389015,42.10526378531205,15.76,42.03,0.079,22.83,34.22,97.62,85.71,83,50,451.95,111.66,15,14,2,63,6,9,6,15,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,7,78,986,92,22676,72,99,86,0,28,6202,21,2760,35,20,311,386,451,304,58,0,691,85529,715,12,-1309614.0762007,2699014.6602809713,0.95,315.38,860.83,2398.49,Northern Rockies and Bitterroot Valley
