Huc 4th Name,Huc 5th Name,Huc 6th Code,Huc 6th Name,Total HUC Area   ,FS HUC Area,Total Perennial Stream Length,Total ECA Area,Perennial Stream Length Under Non-shading Covertypes,0 - 2% Gradient Perennial Stream Length,0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Perennial Stream Length w/in 300' of Roads,Total Road Length,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of HUC over External FS Boundary ,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density,Number of Barriers on 2nd Order Streams,Number of Barriers on 3rd+ Order Streams,Portion of Watershed in ECA,Portion of Perennial Streams under Non-shading Covertype,Portion of Total 0 - 2% Gradient Perennial Stream Length w/in Active Allotment,Portion of Total Perennial Stream Length w/in 300' of Roads,Road Density Rating,Barriers by Stream Order  Rating,RCA,Drainage Network,Road Density / Location,Barriers,Large Woody Debris,Sediment,Embeddedness,Temperature,Off-channel Habitat,Floodplain Connectivity,Streambank Stability,Width-Depth Ratio,Peak/Base Flows,Pool Frequency/Quality,Large Pools,INTEGRATED 6th Level HUC Rating
Flint-Rock,Bear Creek-Clark Fork ,170102020610,Harvey Creek,25339.2832,20196.91602,30.98053932,261.6151538,4.636774063,0.900789857,0.900789857,3.011904001,47.48535156,0,0,79.70594851,1.295322284,14.96673126,100,9.72192243,1.504716114,0,0,FA,FAR,FUR,FAR,FAR,FA,FUR,FAR,FAR,FA,FAR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FAR,FAR,FAR,FUR
Upper Clark Fork,Browns Gulch,170102010101,Headwaters Browns Gulch ,18253.99805,14904.93262,16.17372513,224.6506134,8.200922966,1.167553186,0.713561594,8.953681946,50.01388168,1,0,81.65297585,1.507223274,50.70522035,61.11598191,55.35942941,2.147536328,1,0,FA,FUR,FUR,FUR,FAR,FAR,FUR,FAR,FUR,FAR,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Flint-Rock,Upper Willow Creek,170102021101,Headwaters Upper Willow Creek ,11742.57324,11558.8584,22.94714165,300.153867,0.617058694,0.802824736,0.782345891,3.166585684,20.26189232,1,1,98.43548057,2.596743178,2.689043818,97.44915122,13.79947765,1.121876455,1,1,FA,FA,FUR,FAR,FAR,FUR,FAR,FAR,FAR,FUR,FA,FAR,FAR,FA,FAR,FAR,FAR,FAR,FAR,FA,FA,FUR
Upper Clark Fork,Warm Springs Creek,170102010302,Headwaters Warm Springs Creek,16775.55469,14837.21973,19.07185745,295.2958574,2.131547928,3.559704065,0,11.75818634,74.62412262,0,1,88.44547918,1.990237139,11.17640447,0,61.65202509,3.218894061,0,1,FA,FAR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FUR,FUR,FUR,FUR
Flint-Rock,West Fork Rock Creek,170102021001,Headwaters West Fork Rock Creek ,13053.07617,13044.18945,27.90782166,865.5707606,5.05931139,4.28938055,4.28938055,4.062139034,8.054525375,3,0,99.93191858,6.635680691,18.12865028,100,14.55555752,0.395187164,3,0,FA,FAR,FUR,FAR,FA,FAR,FUR,FA,FAR,FAR,FAR,FAR,FAR,FA,FUR,FAR,FAR,FAR,FA,FAR,FAR,FAR
Flint-Rock,Boulder Creek,170102020303,Lower Boulder Creek,15696.03418,13745.15723,12.78439999,289.8883631,0.293257684,0.295100868,0.295100868,5.647592068,51.55074692,0,0,87.57089257,2.109021805,2.293871314,100,44.17565214,2.400298336,0,0,FA,FA,FUR,FUR,FUR,FA,FUR,FUR,FUR,FA,FAR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FUR,FAR,FAR,FUR
Upper Clark Fork,Warm Springs Creek-Clark Fork ,170102010403,Lower Lost Creek,21598.41992,1139.917236,0,0.410934031,0,0,0,0,0.106241219,0,0,5.277780691,0.036049462,0,0,0,0.059648524,0,0,FA,FA,FA,FA,FA,FA,FA,FA,FA ,FA,FA,FA,FA,FAR,FA,FA,FA,FA,FA,FA,FA,FAR
Flint-Rock,Middle Fork Rock Creek,170102020805,Lower Middle Fork Rock Creek,20898.31836,13629.30859,11.91625214,368.662246,3.988160372,4.016709328,4.009194851,2.911095858,39.16731262,0,1,65.21725028,2.704922583,33.46824425,99.81291957,24.42962623,1.839204088,0,1,FA,FUR,FUR,FUR,FAR,FUR,FUR,FAR,FUR,FUR,FUR,FUR,FUR,FA,FUR,FUR,FUR,FUR,FAR,FUR,FUR,FUR
Flint-Rock,Ross Fork-Rock Creek,170102020903,Lower Ross Fork,13896.01172,6561.601563,7.620765209,78.21809721,1.497130871,1.497130871,1.48163116,1.97680521,10.19778824,0,0,47.21931512,1.192058013,19.64541394,98.96470567,25.93972069,0.994663332,0,0,FA,FAR,FUR,FUR,FA,FA,FUR,FA,FUR,FA,FUR,FUR,FUR,FAR,FUR,FUR,FAR,FAR,FA,FUR,FUR,FUR
Flint-Rock,Lower Willow Creek,170102020402,Lower South Fork Lower Middle Creek,10729.48633,3007.057373,7.444061279,21.64378771,0,0,0,0.965440631,5.536749363,0,0,28.0261075,0.71976637,0,0,12.96927302,1.178401059,0,0,FA,FA,FA,FAR,FAR,FA,FAR,FAR,FAR,FA,FA,FAR,FAR,FA,FAR,FAR,FAR,FAR,FAR,FA,FA,FAR
